epoch,Loss/Train,Loss/Validation,Metrics/Accuracy,Metrics/Precision,Metrics/Recall,Metrics/F1_Score,Metrics/AUC,Learning_Rate
0,0.0680741220712661,0.0448621846735477,0.9834271669387816,0.9714564681053162,0.9961225986480712,0.983634889125824,0.9992613792419434,9.999999747378752e-05
1,0.0263796616345644,0.0289943385869264,0.9899937510490416,0.9950714111328124,0.9848655462265016,0.989942193031311,0.9995856881141664,9.999999747378752e-05
2,0.0213035400956869,0.0414994731545448,0.9844903349876404,0.9820784330368042,0.9869918823242188,0.9845290184020996,0.9988786578178406,9.999999747378752e-05
3,0.0191225260496139,0.0128310713917016,0.9951844811439514,0.9938872456550598,0.9964978098869324,0.9951907992362976,0.999886989593506,9.999999747378752e-05
4,0.0136977862566709,0.0378132760524749,0.9867417216300964,0.99769788980484,0.9757348299026488,0.9865941405296326,0.9996639490127563,9.999999747378752e-05
5,0.0140037797391414,0.0151049429550766,0.9944965839385986,0.9913011193275452,0.997748613357544,0.9945144057273864,0.999906361103058,9.999999747378752e-05
6,0.0122265554964542,0.0122974915429949,0.9961225986480712,0.9964951872825624,0.9957473278045654,0.996121108531952,0.9998898506164552,
7,0.0112320426851511,0.0208162050694227,0.9933083057403564,0.991525411605835,0.995121955871582,0.9933204054832458,0.9997709393501282,
8,0.0102620646357536,0.0376538559794425,0.9894934296607972,0.9828500747680664,0.9963727593421936,0.9895651936531068,0.9995457530021667,
9,0.0087427627295255,0.0146202463656663,0.9949968457221984,0.9933923482894896,0.9966228604316713,0.9950050115585328,0.99987530708313,
10,0.0080182962119579,0.0147092910483479,0.9950594305992126,0.9936392903327942,0.9964978098869324,0.9950665235519408,0.9998762011528016,
11,0.009819995611906,0.0142724430188536,0.9952470064163208,0.9952470064163208,0.9952470064163208,0.9952470064163208,0.9998686909675598,
